,,,,Primary Stats,,,,,,,,,Player Usage,,,,,,Key Team Stats,,,,,,,,,,,,,,Individual Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scoring-Based On-Ice Team Stats,,,,,,,,,,,,,,,,,,,,,,,,,,Other On-Ice Stats,,,,,,,,Off-Ice Team Stats,,,,,,,,,,,,,,,,Quality of Teammates Stats,,,,,,,,,,,Quality of Competition Stats,,,,,,,,,,,,,,,,
,,,,NHL,NHL,NHL,HA,NHL,NHL,CH,HA,,,,,CH,CH,,,,,Focused on Corsi,,,,,,,,,CH,CH,NHL,CH,CH,CH,HA,HA,HA,CH,CH,,CH,RV,NHL,CH,CH,,NHL,NHL,NHL,NHL,CH,CH,CH,,NHL,NHL,CH,CH,,,CH,CH,,CH,CH,CH,CH,HA,HA,HA,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,,,HA,HA,HA,HA,HA,HA,HA,HA,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,HA,HA,HA,HA,HA,HA,HA,HA,CH,CH,CH,HA,HA,HA,HA,HA,HA,HA,HA,CH,CH,CH,,,,,,
Last Name,First Name,Position,Team,GP,G,A,A1,PTS,TOI,TOI,TOI,TOI/GP,TOI%,ZS%,RelZS%,TOI.QoT,TOI.QoC,CF.QoC,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,RelF/60,RelA/60,RelPct%,RelDf/60,iCF,iFF,iSF,iSF,ixG,iSCF,iCF,iFF,iSF,iRB,iRS,iDS,sDist,Pass,iHF,iHF,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA,iTKA,iBLK,BLK%,iFOW,iFOL,iFOW,iFOL,FO%,%FOT,iPENT,iPEND,iPenDf,OZS,DZS,NZS,OTF,OZS,DZS,NZS,OZF,DZF,NZF,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,CF,CA,FF,FA,SF,SA,GF,GA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OTOI,OCF,OCA,OFF,OFA,OSF,OSA,OxGF,OxGA,OSCF,OSCA,OGF,OGA,OOZS,ODZS,ONZS,TMCF60,TMCA60,TMFF60,TMFA60,TMSF60,TMSA60,TMGF60,TMGA60,TOI.QoT,CF.QoT,xGF.QoT,OppCF60,OppCA60,OppFF60,OppFA60,OppSF60,OppSA60,OppGF60,OppGA60,TOI.QoC,CF.QoC,xGF.QoC,Pace,,,,,
Abbott,Spencer,LW,CHI,1,0,0,,0,0,,,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,.000,0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0.0%,0.0,,,0,,,,,,,,,0,,0.0,0,,,0,0,0,0,0,,,,0.0%,0,0,,,0.0%,0.0%,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Abdelkader,Justin,LW/RW,DET,64,0,1,1,1,4665,81.8,77.8,1.24,31.6%,8.1%,-3.4%,30.6%,29.4%,88.1%,22.2%,.915,1137,11.3,86.6,11.5%,-100,-75.3,-2.9,-7.8,-1.6%,4.9,3,2,2,2,0.3,1,3,2,2,0,1,1,32.7,7.5,3,3,1,2,0,2,2,5,2,2,5,4.6%,0,2,0,2,0.0%,3.0%,1,1,0,4,43,19,86,4,48,20,5,33,20,15,109,10,79,9,55,0.9,6.1,3,22,2,5,1,4,1,0,2,4,15,121,10,88,9,63,2,5,30,36,16,9,8,5,2,6,177.2,42,279,37,209,26,152,2,18,4,66,0,10,19,146,30,14.8,102.1,12.0,77.3,7.7,57.1,0.42,7.25,30.6,49.0,49.1,95.3,12.8,71.8,11.1,50.7,8.8,6.81,0.89,29.4,50.7,50.1,97.9,,,,,
Aberg,Pontus,LW,NSH,15,0,0,,0,6,0.7,,0.03,3.5%,0.0%,-11.1%,,,0.0%,0.0%,.000,0,0.0,0.0,0.0%,0,0.0,-12.7,-92.1,-12.1%,79.4,0,0,0,0,0.0,0,,,,0,0,0,NA,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,3,,,,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,4,29,3,23,3,18,0,2,1,6,1,0,2,16,5,,,,,,,,,NA,NA,NA,,,,,,,,,NA,NA,NA,0.0,,,,,
Acciari,Noel,C,BOS,29,0,0,0,0,350,7.3,5.2,0.21,10.4%,25.0%,21.0%,29.2%,30.8%,87.5%,0.0%,1.000,1000,9.9,49.4,16.7%,-4,-39.5,1.3,-38.7,7.8%,39.9,0,0,0,0,0.0,0,0,0,0,0,0,0,NA,0.0,0,0,0,0,0,1,1,0,1,1,0,0.0%,1,0,1,0,100.0%,25.0%,0,0,0,1,3,0,13,1,3,0,3,7,2,1,5,1,5,1,3,0.0,0.6,0,1,0,0,0,0,0,1,0,1,1,5,1,5,1,3,0,0,1,3,2,0,1,1,0,5,62.7,9,92,9,71,8,44,1,6,4,19,1,4,2,48,7,16.4,89.8,15.0,67.2,12.7,45.1,0.77,5.10,29.2,52.3,53.3,91.0,13.1,69.9,10.7,50.6,9.0,6.15,0.68,30.8,50.8,52.6,59.2,,,,,
Agostino,Kenny,LW,STL,7,0,0,,0,0,0.3,,0.02,13.1%,0.0%,0.0%,25.9%,30.0%,0.0%,0.0%,.000,0,0.0,0.0,0.0%,0,0.0,0.0,-82.2,0.0%,82.2,0,0,0,0,0.0,0,,,,0,0,0,NA,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,3,0,1,0,1,0,0,0,1,0,0,0,2,0,,,,,,,,,25.9,50.9,55.3,,,,,,,,,30.0,47.6,46.8,0.0,,,,,
Aho,Sebastian,RW/LW,CAR,82,1,1,0,2,1074,25.0,17.0,0.24,17.0%,0.0%,-4.7%,31.4%,29.2%,87.7%,33.3%,.826,1159,17.8,55.2,24.4%,-13,-37.4,8.5,-16.3,12.9%,24.8,3,3,3,3,0.4,2,3,3,3,0,1,1,21.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,1,0,1,0.0%,20.0%,1,1,0,0,3,2,52,0,3,2,1,4,7,6,18,6,16,6,11,0.8,1.0,3,3,2,2,1,0,2,1,3,1,6,19,6,17,6,12,2,2,3,2,2,1,0,4,1,2,122.5,19,146,17,100,14,60,1,10,4,36,1,5,4,81,22,17.1,74.0,14.7,53.3,12.3,36.1,1.56,5.02,31.4,51.3,50.7,92.2,13.0,69.6,10.7,49.2,8.7,5.77,0.79,29.2,49.8,49.9,73.0,,,,,
Alzner,Karl,D,WSH,82,0,0,0,0,15054,259.8,244.6,3.07,52.4%,5.1%,-9.8%,27.1%,29.6%,88.3%,4.4%,.890,934,11.4,86.9,11.6%,-317,-75.5,-3.8,22.4,-7.5%,-26.2,5,5,4,4,0.2,1,5,5,4,0,0,0,41.5,0.0,17,17,4,13,1,13,7,38,12,7,35,9.7%,0,0,0,0,0.0%,0.0%,0,0,0,14,260,49,120,14,265,49,26,97,44,47,362,43,254,33,161,2.9,24.5,12,97,1,17,3,20,1,8,4,28,49,368,45,260,35,166,2,19,151,172,43,20,36,36,4,9,236.2,60,254,52,191,49,127,3,18,10,68,3,22,19,109,30,16.1,73.8,14.2,54.5,12.9,35.9,0.82,6.02,27.1,53.3,52.2,99.4,13.2,75.0,11.3,53.2,8.9,7.04,0.94,29.6,50.4,50.2,98.4,,,,,
Anderson,Josh,RW,CBJ,78,0,0,0,0,883,21.2,14.7,0.22,11.8%,33.3%,27.6%,30.9%,30.0%,87.7%,0.0%,.920,920,3.5,81.5,4.1%,-23,-78.0,-8.7,-7.3,-8.0%,-1.4,0,0,0,0,0.0,0,0,0,0,0,0,0,NA,0.0,0,0,0,0,0,0,1,3,0,1,3,13.0%,0,0,0,0,0.0%,0.0%,0,1,1,1,2,4,43,1,2,4,4,12,3,1,23,1,15,1,12,0.0,1.3,0,4,0,1,0,1,1,0,1,1,1,24,1,16,1,13,0,1,5,2,2,1,0,1,0,5,158.3,32,234,29,180,22,134,3,18,11,68,3,11,8,131,22,12.0,97.2,10.6,74.6,8.5,53.3,1.26,5.65,30.9,51.0,50.6,100.7,14.1,75.5,12.0,53.4,8.9,6.86,0.97,30.0,50.7,50.4,84.9,,,,,
